Number of Inputs,2,
Number of Outputs,6,
Number of data points,4515000,
Case,1,
Size of mini-batch,2048,
Number of batches,2,
Number of Training examples,4096,
Number of Validation examples,1000,
Number of iterations,30000,
Layer Normalization,True,
,
Optimizer,<class 'torch.optim.adam.Adam'>,
Activation Function,<class 'torch.nn.modules.activation.PReLU'>,
,
log10initLRInt,[-2, -2],
lrUpdateCoeffInt,[5, 6],
lrUpdatePeriodInt,[5000, 5001],
L1Int,[5, 10],
N1Int,[150, 250],
L2Int,[1, 2],
N2Int,[3, 4],
,
Loss function,isSum,False,
,isAbsolute,False,
,isPercent,True,
,Regularisation,None,
,
,
initLR,lrUpdateCoeff,lrUpdatePeriod,L1,N1,L2,N2,e1,e2,e3,e4,e5,e6,
0.01,5.0,5000.0,7.0,173.0,1.0,3.0,0.12577755749225616,0.09001384675502777,0.08368803560733795,0.09396599233150482,0.15391336381435394,0.05959971994161606,
0.01,5.0,5000.0,7.0,173.0,1.0,3.0,0.1681746393442154,0.18402621150016785,0.24162623286247253,0.23001469671726227,0.5052031874656677,0.18934959173202515,
,
0.01,5.0,5000.0,7.0,249.0,1.0,3.0,0.17182041704654694,0.14386752247810364,0.16547852754592896,0.0883914977312088,0.1443711817264557,0.06299014389514923,
0.01,5.0,5000.0,7.0,249.0,1.0,3.0,0.14349700510501862,0.21402496099472046,0.22390013933181763,0.22060543298721313,0.576324462890625,0.1684454083442688,
,
0.01,5.0,5000.0,5.0,249.0,1.0,3.0,0.15398408472537994,0.1564299464225769,0.16932260990142822,0.1284540593624115,0.17576995491981506,0.06598208099603653,
0.01,5.0,5000.0,5.0,249.0,1.0,3.0,0.1842249482870102,0.18098245561122894,0.18699786067008972,0.13627471029758453,0.1725737303495407,0.07160081714391708,
,
0.01,5.0,5000.0,6.0,241.0,1.0,3.0,0.10726168751716614,0.08284343779087067,0.07655039429664612,0.07256393879652023,0.1263275444507599,0.048155736178159714,
0.01,5.0,5000.0,6.0,241.0,1.0,3.0,0.2208365648984909,0.17398859560489655,0.14946787059307098,0.24419434368610382,0.5588570237159729,0.11565534770488739,
,
0.01,5.0,5000.0,8.0,185.0,1.0,3.0,0.38888490200042725,0.19028665125370026,0.15351557731628418,0.22642375528812408,0.4459577202796936,0.14389993250370026,
0.01,5.0,5000.0,8.0,185.0,1.0,3.0,0.2990797758102417,0.18906225264072418,0.2003243863582611,0.2883022129535675,0.464699923992157,0.13699215650558472,
,
0.01,5.0,5000.0,8.0,186.0,1.0,3.0,0.1838565170764923,0.13058145344257355,0.12708909809589386,0.1399526298046112,0.29228630661964417,0.10458794236183167,
0.01,5.0,5000.0,8.0,186.0,1.0,3.0,0.22370682656764984,0.16246658563613892,0.1310790479183197,0.2074810266494751,0.36836719512939453,0.1462583839893341,
,
0.01,5.0,5000.0,6.0,219.0,1.0,3.0,0.1500600278377533,0.09566932916641235,0.07121364772319794,0.13673771917819977,0.17528830468654633,0.0493401475250721,
0.01,5.0,5000.0,6.0,219.0,1.0,3.0,0.19071216881275177,0.15445657074451447,0.20239169895648956,0.31736475229263306,0.6908329129219055,0.1592845916748047,
,
0.01,5.0,5000.0,5.0,193.0,1.0,3.0,0.12860943377017975,0.08496199548244476,0.07539525628089905,0.10895472764968872,0.23192930221557617,0.08185730874538422,
0.01,5.0,5000.0,5.0,193.0,1.0,3.0,0.1445143073797226,0.09344641119241714,0.10268288850784302,0.12821365892887115,0.5330912470817566,0.08022484183311462,
,
0.01,5.0,5000.0,6.0,241.0,1.0,3.0,0.14478304982185364,0.10279548913240433,0.11957200616598129,0.08019877970218658,0.26691725850105286,0.07818204909563065,
0.01,5.0,5000.0,6.0,241.0,1.0,3.0,0.16806215047836304,0.09415928274393082,0.0996914654970169,0.11804794520139694,0.28697189688682556,0.08306826651096344,
,
0.01,5.0,5000.0,6.0,188.0,1.0,3.0,0.12146871536970139,0.09396761655807495,0.1170472726225853,0.07407011836767197,0.20752309262752533,0.06302779167890549,
0.01,5.0,5000.0,6.0,188.0,1.0,3.0,0.14079131186008453,0.13086026906967163,0.12193305045366287,0.20838019251823425,0.6268402338027954,0.1629340797662735,
,
0.01,5.0,5000.0,6.0,244.0,1.0,3.0,0.24088236689567566,0.08735072612762451,0.08270647376775742,0.08652368932962418,0.4110656678676605,0.15662139654159546,
0.01,5.0,5000.0,6.0,244.0,1.0,3.0,0.16909843683242798,0.11988133192062378,0.09595759958028793,0.1659587323665619,0.30732208490371704,0.12181635200977325,
,
0.01,5.0,5000.0,6.0,208.0,1.0,3.0,0.1340971142053604,0.09643732011318207,0.10010658204555511,0.14006748795509338,0.22696392238140106,0.06473852694034576,
0.01,5.0,5000.0,6.0,208.0,1.0,3.0,0.2295176088809967,0.09607549011707306,0.09269758313894272,0.16802576184272766,0.2665426731109619,0.08634402602910995,
,
0.01,5.0,5000.0,6.0,218.0,1.0,3.0,0.1782415509223938,0.09305287152528763,0.08527228236198425,0.09617958217859268,0.2569437623023987,0.06190169230103493,
0.01,5.0,5000.0,6.0,218.0,1.0,3.0,0.14366573095321655,0.15451975166797638,0.12950287759304047,0.16328567266464233,0.43123432993888855,0.11844566464424133,
,
0.01,5.0,5000.0,5.0,217.0,1.0,3.0,0.09240660071372986,0.06563086807727814,0.07372992485761642,0.08817025274038315,0.1425236463546753,0.05299394205212593,
0.01,5.0,5000.0,5.0,217.0,1.0,3.0,0.11156468093395233,0.07272335141897202,0.10359429568052292,0.12667316198349,0.35283058881759644,0.08286752551794052,
,
0.01,5.0,5000.0,5.0,155.0,1.0,3.0,0.09995365142822266,0.09568166732788086,0.1045699268579483,0.09669727087020874,0.21057745814323425,0.07333489507436752,
0.01,5.0,5000.0,5.0,155.0,1.0,3.0,0.34256231784820557,0.2599465250968933,0.2617018520832062,0.31083443760871887,0.4834640622138977,0.19029219448566437,
,

0.01,5.0,5000.0,5.0,217.0,1.0,3.0,0.11156468093395233,e1,
0.01,5.0,5000.0,5.0,217.0,1.0,3.0,0.07272335141897202,e2,
0.01,5.0,5000.0,6.0,208.0,1.0,3.0,0.09269758313894272,e3,
0.01,5.0,5000.0,6.0,241.0,1.0,3.0,0.11804794520139694,e4,
0.01,5.0,5000.0,5.0,249.0,1.0,3.0,0.1725737303495407,e5,
0.01,5.0,5000.0,5.0,249.0,1.0,3.0,0.07160081714391708,e6,

All errors less than 1
0.01,5.0,5000.0,7.0,173.0,1.0,3.0,0.1681746393442154,0.18402621150016785,0.24162623286247253,0.23001469671726227,0.5052031874656677,0.18934959173202515,
0.01,5.0,5000.0,7.0,249.0,1.0,3.0,0.14349700510501862,0.21402496099472046,0.22390013933181763,0.22060543298721313,0.576324462890625,0.1684454083442688,
0.01,5.0,5000.0,5.0,249.0,1.0,3.0,0.1842249482870102,0.18098245561122894,0.18699786067008972,0.13627471029758453,0.1725737303495407,0.07160081714391708,
0.01,5.0,5000.0,6.0,241.0,1.0,3.0,0.2208365648984909,0.17398859560489655,0.14946787059307098,0.24419434368610382,0.5588570237159729,0.11565534770488739,
0.01,5.0,5000.0,8.0,185.0,1.0,3.0,0.2990797758102417,0.18906225264072418,0.2003243863582611,0.2883022129535675,0.464699923992157,0.13699215650558472,
0.01,5.0,5000.0,8.0,186.0,1.0,3.0,0.22370682656764984,0.16246658563613892,0.1310790479183197,0.2074810266494751,0.36836719512939453,0.1462583839893341,
0.01,5.0,5000.0,6.0,219.0,1.0,3.0,0.19071216881275177,0.15445657074451447,0.20239169895648956,0.31736475229263306,0.6908329129219055,0.1592845916748047,
0.01,5.0,5000.0,5.0,193.0,1.0,3.0,0.1445143073797226,0.09344641119241714,0.10268288850784302,0.12821365892887115,0.5330912470817566,0.08022484183311462,
0.01,5.0,5000.0,6.0,241.0,1.0,3.0,0.16806215047836304,0.09415928274393082,0.0996914654970169,0.11804794520139694,0.28697189688682556,0.08306826651096344,
0.01,5.0,5000.0,6.0,188.0,1.0,3.0,0.14079131186008453,0.13086026906967163,0.12193305045366287,0.20838019251823425,0.6268402338027954,0.1629340797662735,
0.01,5.0,5000.0,6.0,244.0,1.0,3.0,0.16909843683242798,0.11988133192062378,0.09595759958028793,0.1659587323665619,0.30732208490371704,0.12181635200977325,
0.01,5.0,5000.0,6.0,208.0,1.0,3.0,0.2295176088809967,0.09607549011707306,0.09269758313894272,0.16802576184272766,0.2665426731109619,0.08634402602910995,
0.01,5.0,5000.0,6.0,218.0,1.0,3.0,0.14366573095321655,0.15451975166797638,0.12950287759304047,0.16328567266464233,0.43123432993888855,0.11844566464424133,
0.01,5.0,5000.0,5.0,217.0,1.0,3.0,0.11156468093395233,0.07272335141897202,0.10359429568052292,0.12667316198349,0.35283058881759644,0.08286752551794052,
0.01,5.0,5000.0,5.0,155.0,1.0,3.0,0.34256231784820557,0.2599465250968933,0.2617018520832062,0.31083443760871887,0.4834640622138977,0.19029219448566437,

No Other Top Performers found!!!!

Total Time taken by GPU(in seconds),12375.427868366241,
